pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	90	3	1	2	0	0	0	0	0	0	0	0	3
education---errand	5	2	1	6	3	3	1	1	3	2	2	1	43
education---home	119	127	113	101	98	75	49	82	67	52	41	44	1006
education---leisure	1	2	7	0	0	4	9	7	5	4	6	2	65
education---shop	0	0	3	1	2	0	1	4	5	2	1	2	24
errand---education	4	9	6	3	3	2	2	2	3	0	1	3	18
errand---errand	874	37	13	4	3	2	1	4	2	0	1	1	12
errand---home	5083	215	40	44	21	17	15	9	17	4	6	5	52
errand---leisure	7	21	38	46	21	28	24	25	14	25	18	16	338
errand---shop	20	66	52	49	43	37	37	31	39	32	37	21	453
errand---work	40	51	43	52	48	48	45	56	39	45	47	29	642
home---education	173	189	167	119	120	88	59	84	63	60	51	42	920
home---errand	5562	283	74	50	24	15	23	19	15	7	9	6	75
home---home	415	18	2	1	1	0	1	1	0	1	1	0	6
home---leisure	87	254	255	269	264	222	218	218	187	204	188	175	2927
home---shop	89	247	300	303	253	234	225	226	206	229	175	164	2861
home---work	587	732	701	704	655	586	558	557	496	410	399	377	6146
leisure---education	2	2	2	2	0	4	2	4	3	1	0	0	19
leisure---errand	9	22	39	32	37	33	23	25	21	16	15	25	239
leisure---home	89	313	404	406	330	324	296	235	239	189	207	175	2709
leisure---leisure	11	71	91	94	86	60	59	46	32	30	24	36	375
leisure---shop	20	55	52	58	44	52	29	27	21	32	18	18	290
leisure---work	21	53	44	34	38	37	41	27	36	28	23	28	413
shop---education	0	0	3	1	2	0	0	1	2	0	1	2	14
shop---errand	4	21	32	33	28	25	18	18	17	20	14	16	229
shop---home	129	394	378	409	346	314	286	288	236	227	208	188	3174
shop---leisure	25	49	65	62	63	50	29	30	23	35	14	15	295
shop---shop	42	100	94	91	70	64	58	43	54	29	39	27	449
shop---work	10	20	28	24	18	25	26	20	8	15	10	17	214
work---errand	23	30	36	32	37	39	47	44	24	35	33	34	700
work---home	191	278	311	323	362	338	341	363	384	380	378	349	7116
work---leisure	17	51	41	58	45	47	51	52	49	43	39	42	766
work---shop	20	41	54	55	42	39	50	42	60	35	47	34	750
work---work	3040	167	38	27	18	8	10	9	9	5	5	3	61

average trip duration: 5149.184434084755 seconds = 01:25:49
