time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_car	arrivals_car	stuck_car	en-route_car
00:00:00	0	0	0	0	0	0	0	0	0
00:05:00	300	0	0	0	0	0	0	0	0
00:10:00	600	0	0	0	0	0	0	0	0
00:15:00	900	0	0	0	0	0	0	0	0
00:20:00	1200	0	0	0	0	0	0	0	0
00:25:00	1500	0	0	0	0	0	0	0	0
00:30:00	1800	0	0	0	0	0	0	0	0
00:35:00	2100	0	0	0	0	0	0	0	0
00:40:00	2400	0	0	0	0	0	0	0	0
00:45:00	2700	0	0	0	0	0	0	0	0
00:50:00	3000	0	0	0	0	0	0	0	0
00:55:00	3300	0	0	0	0	0	0	0	0
01:00:00	3600	0	0	0	0	0	0	0	0
01:05:00	3900	0	0	0	0	0	0	0	0
01:10:00	4200	0	0	0	0	0	0	0	0
01:15:00	4500	0	0	0	0	0	0	0	0
01:20:00	4800	0	0	0	0	0	0	0	0
01:25:00	5100	0	0	0	0	0	0	0	0
01:30:00	5400	0	0	0	0	0	0	0	0
01:35:00	5700	0	0	0	0	0	0	0	0
01:40:00	6000	0	0	0	0	0	0	0	0
01:45:00	6300	0	0	0	0	0	0	0	0
01:50:00	6600	0	0	0	0	0	0	0	0
01:55:00	6900	0	0	0	0	0	0	0	0
02:00:00	7200	0	0	0	0	0	0	0	0
02:05:00	7500	0	0	0	0	0	0	0	0
02:10:00	7800	0	0	0	0	0	0	0	0
02:15:00	8100	0	0	0	0	0	0	0	0
02:20:00	8400	0	0	0	0	0	0	0	0
02:25:00	8700	0	0	0	0	0	0	0	0
02:30:00	9000	0	0	0	0	0	0	0	0
02:35:00	9300	0	0	0	0	0	0	0	0
02:40:00	9600	0	0	0	0	0	0	0	0
02:45:00	9900	0	0	0	0	0	0	0	0
02:50:00	10200	0	0	0	0	0	0	0	0
02:55:00	10500	0	0	0	0	0	0	0	0
03:00:00	10800	0	0	0	0	0	0	0	0
03:05:00	11100	0	0	0	0	0	0	0	0
03:10:00	11400	0	0	0	0	0	0	0	0
03:15:00	11700	0	0	0	0	0	0	0	0
03:20:00	12000	0	0	0	0	0	0	0	0
03:25:00	12300	0	0	0	0	0	0	0	0
03:30:00	12600	8	0	0	8	8	0	0	8
03:35:00	12900	1	1	0	8	1	1	0	8
03:40:00	13200	7	4	0	11	7	4	0	11
03:45:00	13500	8	3	0	16	8	3	0	16
03:50:00	13800	5	6	0	15	5	6	0	15
03:55:00	14100	11	6	0	20	11	6	0	20
04:00:00	14400	23	9	0	34	23	9	0	34
04:05:00	14700	15	13	0	36	15	13	0	36
04:10:00	15000	26	14	0	48	26	14	0	48
04:15:00	15300	26	12	0	62	26	12	0	62
04:20:00	15600	24	26	0	60	24	26	0	60
04:25:00	15900	20	15	0	65	20	15	0	65
04:30:00	16200	38	29	0	74	38	29	0	74
04:35:00	16500	34	31	0	77	34	31	0	77
04:40:00	16800	27	21	0	83	27	21	0	83
04:45:00	17100	37	26	0	94	37	26	0	94
04:50:00	17400	37	28	0	103	37	28	0	103
04:55:00	17700	31	27	0	107	31	27	0	107
05:00:00	18000	49	42	0	114	49	42	0	114
05:05:00	18300	35	31	0	118	35	31	0	118
05:10:00	18600	48	41	0	125	48	41	0	125
05:15:00	18900	39	41	0	123	39	41	0	123
05:20:00	19200	57	37	0	143	57	37	0	143
05:25:00	19500	63	40	0	166	63	40	0	166
05:30:00	19800	67	47	0	186	67	47	0	186
05:35:00	20100	67	48	0	205	67	48	0	205
05:40:00	20400	59	61	0	203	59	61	0	203
05:45:00	20700	90	67	0	226	90	67	0	226
05:50:00	21000	101	60	0	267	101	60	0	267
05:55:00	21300	101	73	0	295	101	73	0	295
06:00:00	21600	89	72	0	312	89	72	0	312
06:05:00	21900	96	73	0	335	96	73	0	335
06:10:00	22200	91	83	0	343	91	83	0	343
06:15:00	22500	144	93	0	394	144	93	0	394
06:20:00	22800	148	103	0	439	148	103	0	439
06:25:00	23100	163	113	0	489	163	113	0	489
06:30:00	23400	187	117	0	559	187	117	0	559
06:35:00	23700	192	108	0	643	192	108	0	643
06:40:00	24000	231	152	0	722	231	152	0	722
06:45:00	24300	257	165	0	814	257	165	0	814
06:50:00	24600	302	157	0	959	302	157	0	959
06:55:00	24900	317	202	0	1074	317	202	0	1074
07:00:00	25200	386	193	0	1267	386	193	0	1267
07:05:00	25500	417	222	0	1462	417	222	0	1462
07:10:00	25800	395	219	0	1638	395	219	0	1638
07:15:00	26100	507	245	0	1900	507	245	0	1900
07:20:00	26400	492	265	0	2127	492	265	0	2127
07:25:00	26700	525	304	0	2348	525	304	0	2348
07:30:00	27000	579	328	0	2599	579	328	0	2599
07:35:00	27300	566	323	0	2842	566	323	0	2842
07:40:00	27600	612	340	0	3114	612	340	0	3114
07:45:00	27900	566	266	0	3414	566	266	0	3414
07:50:00	28200	565	334	0	3645	565	334	0	3645
07:55:00	28500	591	351	0	3885	591	351	0	3885
08:00:00	28800	559	390	0	4054	559	390	0	4054
08:05:00	29100	574	351	0	4277	574	351	0	4277
08:10:00	29400	561	396	0	4442	561	396	0	4442
08:15:00	29700	565	394	0	4613	565	394	0	4613
08:20:00	30000	564	391	0	4786	564	391	0	4786
08:25:00	30300	557	424	0	4919	557	424	0	4919
08:30:00	30600	567	424	0	5062	567	424	0	5062
08:35:00	30900	519	455	0	5126	519	455	0	5126
08:40:00	31200	456	366	0	5216	456	366	0	5216
08:45:00	31500	459	359	0	5316	459	359	0	5316
08:50:00	31800	454	360	0	5410	454	360	0	5410
08:55:00	32100	419	341	0	5488	419	341	0	5488
09:00:00	32400	406	386	0	5508	406	386	0	5508
09:05:00	32700	393	358	0	5543	393	358	0	5543
09:10:00	33000	359	384	0	5518	359	384	0	5518
09:15:00	33300	360	334	0	5544	360	334	0	5544
09:20:00	33600	322	359	0	5507	322	359	0	5507
