ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
27	-8.325446606372331	-28.481421271711675	-15.556730285660382	-7.571216741342985
28	-8.351541791127202	-26.97916106593657	-15.009494390050602	-7.541695016041475
29	-8.278783673525753	-25.641062894125405	-14.466793968036672	-7.518125968027302
30	-8.298640958623665	-24.289804665892326	-13.980670952492995	-7.490649615554749
31	-8.31323079156975	-23.231642120256794	-13.546680167192227	-7.485111115720685
32	-8.250855459674693	-22.130458015267468	-13.100322041984874	-7.4432968248699325
33	-8.202605584135377	-21.044088118154747	-12.694404323164369	-7.415075022126277
34	-8.238108059519774	-20.31273322546754	-12.399552569651862	-7.4075294556919165
35	-8.225088920234423	-19.67965475992932	-12.132264365988215	-7.392175849098283
36	-8.216485576391126	-19.001330968580735	-11.83461723157972	-7.375813903639725
37	-8.21687444684141	-18.264726186525156	-11.554733112530775	-7.354113770881688
38	-8.158801651178157	-17.530639658701222	-11.280780593124172	-7.329067512999154
39	-8.163968428476542	-17.009472770771158	-11.061999368477228	-7.306600909945703
40	-8.188790034848932	-16.545181505144466	-10.888839582872352	-7.301030119482129
41	-8.182721125124408	-16.034448293505964	-10.686351354777365	-7.289163624294629
42	-8.133824745547	-15.479299286425471	-10.466867146301134	-7.263313972784479
43	-8.158433178448858	-14.968053780838613	-10.257609323717505	-7.2620010510010795
44	-8.099610368956606	-14.326415878415771	-10.014371191272934	-7.23770618984392
45	-8.080379259320608	-13.848413403031248	-9.834493306781626	-7.2269348794113375
46	-8.116782968248652	-13.602433897555118	-9.724114635191773	-7.223204378249685
47	-8.124482312755756	-13.259679029759829	-9.591151399491025	-7.2061408203340065
48	-8.061416362429384	-12.915805467972186	-9.443693301250043	-7.186601255669771
49	-8.073902118597106	-12.606569656488501	-9.306052643406272	-7.1798376479698405
50	-8.033393627613636	-12.271858612678344	-9.191071421986086	-7.170528681269963
51	-8.065513884279133	-12.117106773426196	-9.107208883034566	-7.16335545967465
52	-8.074438129217747	-11.754515709702357	-8.992098343520516	-7.164862678393546
53	-8.045609304126497	-11.549972687797238	-8.894159504415997	-7.145871086403303
54	-8.012692775749493	-11.307147015709608	-8.801447604362492	-7.140936428255276
55	-8.055376770107216	-11.110472812257836	-8.728292439936128	-7.137391511782168
56	-8.026251382896241	-10.868693093815587	-8.63805688083118	-7.126396932735795
57	-8.055428490430279	-10.664158784157436	-8.56560419317208	-7.117342073238088
58	-8.028752489213321	-10.443246902312127	-8.48715722609422	-7.11278356289401
59	-8.014741260095011	-10.277262349264237	-8.416941546124091	-7.104238992145008
60	-8.065903238743129	-10.150098877088118	-8.370760218451428	-7.106959287531677
61	-8.060740679278679	-9.991390433123108	-8.319478285070124	-7.109868348268488
62	-8.04664696039379	-9.944006665560284	-8.287726368606304	-7.092982561677032
63	-8.053511657816044	-9.84317782664004	-8.253341763238831	-7.094738563447179
64	-8.056402118597102	-9.767040670981261	-8.21352111336972	-7.08675330512214
65	-8.026338021351812	-9.596899892133981	-8.15738184303196	-7.079442208761903
66	-8.016964265958597	-9.53061151676057	-8.130054532212194	-7.074431422170497
67	-8.023410222369698	-9.457390128885836	-8.101025377300084	-7.068476463104238
68	-8.03584557196589	-9.412721401703664	-8.084403654764474	-7.069112180550836
69	-7.993606040491117	-9.322567139617078	-8.043637472572488	-7.052841990264278
70	-7.994454032525599	-9.232291459232068	-8.01305949104801	-7.049384749419065
71	-7.955113674078946	-9.160121141719149	-7.978756367085133	-7.0381237553931655
72	-8.020735839141468	-9.153511796105718	-7.9795107773720835	-7.0404502019027335
73	-7.932163956189797	-9.088421769554056	-7.942811007624336	-7.020701197588097
74	-7.98052474001542	-9.0771593926318	-7.940905946915131	-7.02662642438311
75	-7.961946841464678	-9.028284309658007	-7.919992958752734	-7.0173050116162345
76	-7.973651883504763	-9.02488722480351	-7.914429077008782	-7.0120419847327025
77	-7.960536840358381	-9.005430011616253	-7.900386168040327	-7.009572892465844
