ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	10016.261416510937	
1	10370.18994746768	
2	10652.28256669457	
3	10871.710411745038	
4	11035.727509528651	
5	11153.33411486475	
6	11249.781528344089	
7	11329.24280671586	
8	11403.100090415832	
9	11448.77824765816	
10	11478.480438542403	
11	11516.783796995185	
12	11545.721110299848	
13	11571.917078789307	
14	11590.850480395555	
15	11607.837948268912	
16	11626.898985109434	
17	11637.261325444688	
18	11653.75600733885	
19	11659.834729778151	
20	11666.836768977484	
21	11672.309135992384	
22	11678.45973036633	
23	11681.275066901258	
24	11687.327302493044	
25	11689.607689448507	
26	11693.34702113973	
27	11694.295704863918	
28	11702.187648244053	
29	11701.614016241883	
30	11704.078416907623	
31	11699.498889144474	
32	11700.141547091218	
33	11705.088770665705	
34	11702.023828300129	
35	11704.487042198207	
36	11707.791519936893	
37	11706.482428243615	
38	11706.812615413788	
39	11705.162018693025	
40	11703.4148735378	
41	11706.161887168095	
42	11703.753671780747	
43	11706.503706779547	
44	11704.271212008784	
45	11705.12132829125	
46	11707.834810620128	
47	11711.03531015334	
48	11707.144601801176	
49	11710.866545360877	
50	11706.153769847257	
51	11706.917248514532	
52	11704.117354741187	
53	11702.998421032575	
54	11700.663337482769	
55	11701.946315573929	
56	11705.80794638208	
57	11698.845462594893	
58	11702.23874301511	
59	11698.37973775273	
60	11695.983495834691	
61	11698.275043052872	
62	11701.467578362686	
63	11703.921902071204	
64	11697.336367010417	
65	11697.099379893125	
66	11703.159685167042	
67	11699.848834713357	
68	11697.652673670413	
69	11692.85114641334	
70	11695.9154402759	
71	11697.362027959867	
72	11702.813025968537	
73	11707.59710725623	
74	11703.432616624634	
75	11703.390894690632	
76	11702.752920481416	
77	11704.838039518516	
78	11711.22393973854	
79	11707.01779894985	
80	11704.458915615096	
81	11700.12935995601	
82	11706.989801942753	
83	11705.423907530572	
84	11703.856724706133	
85	11705.828220243853	
86	11699.714801180884	
87	11700.581832299522	
88	11694.2377093349	
89	11696.874827584496	
90	11694.594176372228	
91	11696.226243476618	
92	11698.831000907861	
93	11699.5475472719	
94	11704.841829804078	
95	11704.111300263598	
96	11705.50261828185	
97	11700.585885211047	
98	11700.654729013697	
99	11707.154985702824	
100	11707.61076217486	
