pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	86	6	1	2	1	0	0	0	1	0	0	0	2
education---errand	4	1	3	2	5	3	6	5	3	1	3	2	32
education---home	125	133	117	102	92	76	72	67	70	64	60	42	906
education---leisure	1	3	5	3	2	6	6	7	4	3	9	7	55
education---shop	0	1	4	4	1	0	4	3	3	2	1	3	19
errand---education	9	6	6	2	3	3	0	2	3	1	3	2	16
errand---errand	870	30	6	2	1	2	5	0	4	1	1	1	5
errand---home	5031	192	36	27	19	18	13	5	5	5	4	5	49
errand---leisure	11	22	42	31	30	20	26	22	27	17	10	22	300
errand---shop	27	62	54	55	37	40	40	28	27	29	27	29	431
errand---work	42	54	49	40	51	44	44	49	51	34	39	39	631
home---education	162	206	164	123	112	89	75	59	73	67	60	52	878
home---errand	5576	248	69	32	22	20	13	11	13	14	7	9	74
home---home	412	8	3	3	2	0	1	0	1	2	0	1	3
home---leisure	91	258	276	300	251	218	212	210	212	191	169	187	2689
home---shop	100	262	303	317	252	247	230	202	193	189	199	175	2701
home---work	565	727	752	698	677	583	531	518	486	423	396	358	6057
leisure---education	1	2	4	0	1	1	1	5	1	2	0	2	19
leisure---errand	12	23	34	40	35	19	25	26	21	17	17	14	219
leisure---home	105	335	416	359	341	300	291	244	212	172	202	136	2444
leisure---leisure	13	76	100	94	74	71	35	45	33	33	32	41	328
leisure---shop	25	56	51	51	34	42	49	36	24	16	20	20	266
leisure---work	25	50	49	31	52	42	39	29	34	23	23	18	382
shop---education	0	0	3	1	1	2	1	0	1	1	5	0	10
shop---errand	7	27	29	31	25	32	18	23	16	9	18	9	214
shop---home	128	373	425	382	364	313	276	266	275	224	197	163	2902
shop---leisure	22	59	76	51	57	44	31	24	31	25	22	23	253
shop---shop	44	97	112	83	79	76	54	31	41	34	26	31	407
shop---work	12	24	25	23	25	21	9	18	17	12	12	15	205
work---errand	30	34	32	45	29	38	36	48	45	24	32	37	635
work---home	215	331	374	308	372	356	370	381	392	370	355	308	6518
work---leisure	20	47	58	64	47	56	44	35	45	38	36	37	731
work---shop	21	43	59	41	53	46	47	43	45	43	37	33	702
work---work	3036	156	29	26	16	14	9	5	6	4	3	5	45

average trip duration: 5220.84236886374 seconds = 01:27:00
