ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
67	-8.269506928310538	-9.704475398274052	-8.369901036480666	-7.304117228122482
68	-8.30912531806604	-9.654677439429046	-8.35268156276499	-7.301834342847541
69	-8.329314844009208	-9.610527851532158	-8.336380660655577	-7.305832296160969
70	-8.303688184533593	-9.547473586679828	-8.305033120367261	-7.289109483902976
71	-8.255446606372344	-9.444534793671709	-8.26478369196443	-7.274206079212175
72	-8.296987844341125	-9.44327248589433	-8.263963813059975	-7.278445209646984
73	-8.265131375152123	-9.387366550503355	-8.241246185510903	-7.276873686248339
74	-8.315996722535548	-9.380968234870942	-8.239492482805911	-7.271624695762684
75	-8.30534620809811	-9.366442983183834	-8.230468773048196	-7.274795400486646
76	-8.295438378139096	-9.35407560294275	-8.218253960845546	-7.266478661909353
77	-8.273846664454027	-9.307175503374246	-8.198579264160793	-7.259117366412078
78	-8.273149961278836	-9.29589839860595	-8.191445443586979	-7.254119095032521
79	-8.251182791237877	-9.273281543865401	-8.177475430541623	-7.252323749861599
80	-8.243614130434617	-9.257628056200742	-8.166037915560247	-7.247116730279766
81	-8.218265986281619	-9.218526247372424	-8.144008123363491	-7.232216298816123
82	-8.232469161411547	-9.198495477928821	-8.134788480242946	-7.235795718552811
83	-8.251840358446644	-9.156815812036635	-8.123953821633917	-7.241255047571533
84	-8.272969216727478	-9.162064871667146	-8.12702042307402	-7.244806325367746
85	-8.280398343290104	-9.176388427923364	-8.122653887552001	-7.231233059519752
86	-8.255143060626066	-9.112343110410317	-8.103473593594407	-7.232878153003529
87	-8.22603205553703	-9.090403460006588	-8.092029538665699	-7.223309132647329
88	-8.229672806726304	-9.075768406350132	-8.087914500129061	-7.229894692443711
89	-8.23631382066589	-9.075879176346811	-8.080577451414126	-7.215791777298258
90	-8.246923332226958	-9.077112443301143	-8.077901091796583	-7.218591865803651
91	-8.191362014603286	-9.026983073348692	-8.054576511044662	-7.2020546382342125
92	-8.238575201902815	-9.038586887376832	-8.062224164039051	-7.207360742338598
93	-8.20500117546185	-9.016590469078366	-8.04906141673114	-7.203670621750104
94	-8.233791901758945	-9.023992490872777	-8.049657681297644	-7.204533065051311
95	-8.1944823127558	-8.996510468525182	-8.034143658728809	-7.194122068259647
96	-8.179170123907419	-8.979552771324137	-8.0224332925379	-7.184937216506138
97	-8.17241564332332	-8.957503941254457	-8.014861266686792	-7.1869737387984065
98	-8.209008739904789	-8.979464265958532	-8.022509328788122	-7.189222397388957
99	-8.24400396891241	-9.014954364420726	-8.030522631098522	-7.182514105542534
100	-8.218801236309226	-8.995575768890227	-8.023281653344641	-7.17969928919118
