pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	93	1	0	0	0	0	0	0	0	0	0	0	1
education---errand	8	7	9	3	1	1	0	0	1	0	0	1	18
education---home	260	212	132	93	63	50	37	24	21	20	19	18	534
education---leisure	1	3	3	5	7	5	5	3	4	4	2	1	45
education---shop	1	4	1	1	5	2	2	3	0	1	1	0	18
errand---education	8	5	6	0	0	3	1	0	1	1	0	1	17
errand---errand	735	8	1	2	0	0	0	0	0	0	0	0	5
errand---home	4193	107	17	11	3	1	0	5	0	0	0	0	7
errand---leisure	12	28	41	34	20	15	11	7	6	12	6	6	180
errand---shop	31	77	61	45	23	21	16	17	19	13	11	5	292
errand---work	66	65	46	38	45	29	28	29	27	19	15	11	537
home---education	267	230	151	117	66	66	42	41	29	30	28	27	769
home---errand	5306	144	21	10	7	5	3	3	4	5	3	2	22
home---home	342	6	1	0	0	0	0	0	0	0	0	0	3
home---leisure	131	283	266	216	165	146	120	88	85	67	71	46	1868
home---shop	140	359	300	275	196	164	137	102	102	74	58	53	2196
home---work	748	793	702	627	503	462	323	297	247	219	175	167	5389
leisure---education	2	3	3	1	1	0	0	2	0	3	0	0	11
leisure---errand	9	38	36	33	14	13	15	6	4	5	1	3	100
leisure---home	147	332	320	275	184	132	82	85	55	35	38	25	1136
leisure---leisure	15	75	81	75	58	26	30	18	18	8	11	5	190
leisure---shop	32	61	50	40	21	22	18	14	6	7	2	1	153
leisure---work	35	80	50	32	32	22	17	8	7	7	4	4	223
shop---education	1	2	3	2	1	1	0	0	0	0	0	0	8
shop---errand	13	31	28	25	13	10	7	11	5	5	4	5	119
shop---home	181	490	428	300	224	157	125	92	65	51	43	38	1649
shop---leisure	21	80	60	37	38	26	21	8	8	9	3	5	143
shop---shop	59	127	82	73	51	33	23	14	11	7	6	8	220
shop---work	20	47	31	20	12	19	9	8	3	6	1	5	94
work---errand	58	66	46	47	36	30	22	19	15	16	8	7	346
work---home	575	575	469	390	311	268	234	190	148	149	113	119	3410
work---leisure	37	72	70	73	48	36	14	31	17	15	10	13	407
work---shop	32	78	78	59	56	26	22	18	14	19	13	8	372
work---work	2744	53	11	3	4	0	1	0	1	0	1	1	9

average trip duration: 7654.240978550643 seconds = 02:07:34
