time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_car	arrivals_car	stuck_car	en-route_car
00:00:00	0	0	0	0	0	0	0	0	0
00:05:00	300	0	0	0	0	0	0	0	0
00:10:00	600	0	0	0	0	0	0	0	0
00:15:00	900	0	0	0	0	0	0	0	0
00:20:00	1200	0	0	0	0	0	0	0	0
00:25:00	1500	0	0	0	0	0	0	0	0
00:30:00	1800	0	0	0	0	0	0	0	0
00:35:00	2100	0	0	0	0	0	0	0	0
00:40:00	2400	0	0	0	0	0	0	0	0
00:45:00	2700	0	0	0	0	0	0	0	0
00:50:00	3000	0	0	0	0	0	0	0	0
00:55:00	3300	0	0	0	0	0	0	0	0
01:00:00	3600	0	0	0	0	0	0	0	0
01:05:00	3900	0	0	0	0	0	0	0	0
01:10:00	4200	0	0	0	0	0	0	0	0
01:15:00	4500	0	0	0	0	0	0	0	0
01:20:00	4800	0	0	0	0	0	0	0	0
01:25:00	5100	0	0	0	0	0	0	0	0
01:30:00	5400	0	0	0	0	0	0	0	0
01:35:00	5700	0	0	0	0	0	0	0	0
01:40:00	6000	0	0	0	0	0	0	0	0
01:45:00	6300	0	0	0	0	0	0	0	0
01:50:00	6600	0	0	0	0	0	0	0	0
01:55:00	6900	0	0	0	0	0	0	0	0
02:00:00	7200	0	0	0	0	0	0	0	0
02:05:00	7500	0	0	0	0	0	0	0	0
02:10:00	7800	0	0	0	0	0	0	0	0
02:15:00	8100	0	0	0	0	0	0	0	0
02:20:00	8400	0	0	0	0	0	0	0	0
02:25:00	8700	0	0	0	0	0	0	0	0
02:30:00	9000	0	0	0	0	0	0	0	0
02:35:00	9300	0	0	0	0	0	0	0	0
02:40:00	9600	0	0	0	0	0	0	0	0
02:45:00	9900	0	0	0	0	0	0	0	0
02:50:00	10200	0	0	0	0	0	0	0	0
02:55:00	10500	0	0	0	0	0	0	0	0
03:00:00	10800	0	0	0	0	0	0	0	0
03:05:00	11100	0	0	0	0	0	0	0	0
03:10:00	11400	0	0	0	0	0	0	0	0
03:15:00	11700	0	0	0	0	0	0	0	0
03:20:00	12000	0	0	0	0	0	0	0	0
03:25:00	12300	0	0	0	0	0	0	0	0
03:30:00	12600	8	0	0	8	8	0	0	8
03:35:00	12900	1	1	0	8	1	1	0	8
03:40:00	13200	7	4	0	11	7	4	0	11
03:45:00	13500	8	3	0	16	8	3	0	16
03:50:00	13800	5	4	0	17	5	4	0	17
03:55:00	14100	11	7	0	21	11	7	0	21
04:00:00	14400	23	10	0	34	23	10	0	34
04:05:00	14700	15	13	0	36	15	13	0	36
04:10:00	15000	26	14	0	48	26	14	0	48
04:15:00	15300	26	12	0	62	26	12	0	62
04:20:00	15600	24	26	0	60	24	26	0	60
04:25:00	15900	20	15	0	65	20	15	0	65
04:30:00	16200	38	29	0	74	38	29	0	74
04:35:00	16500	34	31	0	77	34	31	0	77
04:40:00	16800	27	22	0	82	27	22	0	82
04:45:00	17100	37	26	0	93	37	26	0	93
04:50:00	17400	37	26	0	104	37	26	0	104
04:55:00	17700	31	29	0	106	31	29	0	106
05:00:00	18000	49	42	0	113	49	42	0	113
05:05:00	18300	35	29	0	119	35	29	0	119
05:10:00	18600	48	41	0	126	48	41	0	126
05:15:00	18900	39	41	0	124	39	41	0	124
05:20:00	19200	57	36	0	145	57	36	0	145
05:25:00	19500	63	40	0	168	63	40	0	168
05:30:00	19800	67	49	0	186	67	49	0	186
05:35:00	20100	67	52	0	201	67	52	0	201
05:40:00	20400	59	53	0	207	59	53	0	207
05:45:00	20700	90	72	0	225	90	72	0	225
05:50:00	21000	100	60	0	265	100	60	0	265
05:55:00	21300	101	78	0	288	101	78	0	288
06:00:00	21600	90	68	0	310	90	68	0	310
06:05:00	21900	95	74	0	331	95	74	0	331
06:10:00	22200	92	80	0	343	92	80	0	343
06:15:00	22500	145	95	0	393	145	95	0	393
06:20:00	22800	148	104	0	437	148	104	0	437
06:25:00	23100	163	110	0	490	163	110	0	490
06:30:00	23400	186	110	0	566	186	110	0	566
06:35:00	23700	192	112	0	646	192	112	0	646
06:40:00	24000	230	153	0	723	230	153	0	723
06:45:00	24300	257	163	0	817	257	163	0	817
06:50:00	24600	304	164	0	957	304	164	0	957
06:55:00	24900	317	195	0	1079	317	195	0	1079
07:00:00	25200	384	202	0	1261	384	202	0	1261
07:05:00	25500	411	218	0	1454	411	218	0	1454
07:10:00	25800	395	225	0	1624	395	225	0	1624
07:15:00	26100	515	255	0	1884	515	255	0	1884
07:20:00	26400	486	272	0	2098	486	272	0	2098
07:25:00	26700	524	289	0	2333	524	289	0	2333
07:30:00	27000	585	335	0	2583	585	335	0	2583
07:35:00	27300	567	315	0	2835	567	315	0	2835
07:40:00	27600	615	322	0	3128	615	322	0	3128
07:45:00	27900	569	304	0	3393	569	304	0	3393
07:50:00	28200	564	335	0	3622	564	335	0	3622
07:55:00	28500	591	356	0	3857	591	356	0	3857
08:00:00	28800	558	373	0	4042	558	373	0	4042
08:05:00	29100	568	353	0	4257	568	353	0	4257
08:10:00	29400	566	426	0	4397	566	426	0	4397
08:15:00	29700	572	393	0	4576	572	393	0	4576
08:20:00	30000	558	403	0	4731	558	403	0	4731
08:25:00	30300	560	400	0	4891	560	400	0	4891
08:30:00	30600	564	410	0	5045	564	410	0	5045
08:35:00	30900	521	419	0	5147	521	419	0	5147
08:40:00	31200	454	358	0	5243	454	358	0	5243
08:45:00	31500	462	381	0	5324	462	381	0	5324
08:50:00	31800	454	363	0	5415	454	363	0	5415
08:55:00	32100	412	349	0	5478	412	349	0	5478
09:00:00	32400	415	402	0	5491	415	402	0	5491
09:05:00	32700	393	352	0	5532	393	352	0	5532
09:10:00	33000	360	357	0	5535	360	357	0	5535
09:15:00	33300	363	362	0	5536	363	362	0	5536
09:20:00	33600	320	360	0	5496	320	360	0	5496
