pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	89	3	1	1	0	0	2	0	0	0	0	1	2
education---errand	4	1	2	6	3	2	1	1	2	1	3	4	43
education---home	118	123	116	73	89	83	67	64	68	60	43	63	1033
education---leisure	1	2	5	2	2	6	5	7	8	3	7	4	62
education---shop	0	2	2	0	0	4	3	0	0	4	5	2	23
errand---education	5	9	4	3	4	4	1	1	0	0	2	2	21
errand---errand	876	39	7	9	5	7	2	0	3	1	0	0	9
errand---home	5123	241	45	32	14	25	16	6	9	5	7	8	55
errand---leisure	10	26	35	29	32	26	25	21	22	15	13	13	359
errand---shop	20	64	55	58	41	30	37	41	40	27	30	20	469
errand---work	39	52	46	47	41	49	49	46	43	46	29	48	653
home---education	153	203	159	143	101	95	76	65	69	49	66	54	904
home---errand	5604	254	74	51	33	20	17	12	11	6	10	10	84
home---home	421	15	2	3	0	1	0	0	0	0	1	1	6
home---leisure	98	250	274	270	246	215	249	225	196	197	169	163	3007
home---shop	95	242	283	311	249	249	224	236	185	203	171	177	2936
home---work	561	726	688	720	687	626	548	515	493	437	407	373	6189
leisure---education	1	2	4	2	1	1	5	3	2	0	3	0	17
leisure---errand	9	28	38	35	27	36	27	31	15	22	12	17	253
leisure---home	104	276	424	410	330	294	289	275	249	196	203	195	2799
leisure---leisure	11	77	95	99	83	63	49	52	41	27	31	30	376
leisure---shop	26	52	62	48	44	49	30	34	27	20	19	14	307
leisure---work	27	41	43	41	43	36	44	36	26	29	21	25	421
shop---education	0	0	2	1	1	1	2	0	3	2	0	3	11
shop---errand	3	23	33	27	37	26	17	20	15	12	13	19	241
shop---home	134	376	406	377	380	312	297	279	260	254	193	193	3241
shop---leisure	17	54	63	66	61	40	38	22	27	23	13	33	311
shop---shop	41	85	98	94	76	61	57	57	47	47	34	31	448
shop---work	7	25	27	26	18	21	16	18	23	13	17	14	219
work---errand	22	34	29	44	37	32	44	31	35	33	26	36	730
work---home	186	275	317	306	341	327	348	388	377	356	329	338	7396
work---leisure	16	49	47	51	59	54	54	44	39	40	35	32	792
work---shop	13	40	62	42	51	47	50	36	46	44	39	35	785
work---work	3042	169	36	30	15	15	16	11	6	6	5	2	64

average trip duration: 5100.108407079646 seconds = 01:25:00
