pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	86	3	3	2	0	0	0	0	0	0	0	0	1
education---errand	8	5	7	5	6	4	3	0	1	0	0	3	20
education---home	206	183	143	87	89	64	69	44	42	54	38	39	612
education---leisure	1	3	4	7	6	7	10	4	2	1	4	0	53
education---shop	0	3	2	5	2	1	0	0	3	1	3	1	19
errand---education	6	6	5	2	1	3	2	0	3	1	1	1	15
errand---errand	784	17	4	4	1	1	0	1	0	2	0	0	5
errand---home	4520	147	30	14	10	10	4	1	2	2	1	2	18
errand---leisure	8	39	28	25	40	25	18	14	17	13	15	15	186
errand---shop	27	73	66	54	33	27	40	27	25	20	14	16	307
errand---work	58	52	63	44	54	38	39	34	46	24	24	25	558
home---education	237	225	171	130	99	52	70	71	49	29	35	42	766
home---errand	5434	185	45	22	20	4	6	10	8	4	7	2	29
home---home	365	10	3	1	1	0	0	1	0	0	0	0	1
home---leisure	106	284	293	290	255	209	215	176	147	107	112	88	1963
home---shop	122	354	333	316	264	219	207	181	165	125	133	96	2145
home---work	664	788	785	701	632	557	457	418	378	348	253	252	5341
leisure---education	1	3	1	4	3	1	2	0	1	1	2	1	12
leisure---errand	9	38	46	26	30	23	18	13	13	10	10	4	116
leisure---home	133	352	388	364	321	252	191	157	134	113	83	76	1322
leisure---leisure	15	82	83	75	74	52	45	30	21	11	20	15	221
leisure---shop	34	67	62	50	36	31	23	19	15	13	10	6	164
leisure---work	34	72	59	50	43	40	21	26	29	19	10	17	233
shop---education	0	0	2	3	2	1	0	2	2	3	0	1	6
shop---errand	6	33	31	39	24	20	12	12	13	9	9	9	129
shop---home	156	492	462	402	355	255	230	165	173	124	117	99	1767
shop---leisure	27	59	82	50	45	33	27	15	21	9	8	14	172
shop---shop	63	108	110	95	63	44	37	35	15	16	22	10	260
shop---work	16	41	37	16	21	21	12	20	13	9	5	5	118
work---errand	43	55	50	58	38	46	27	29	36	21	13	24	412
work---home	383	501	461	419	415	380	367	332	311	310	268	201	4060
work---leisure	26	64	67	72	70	64	43	44	38	27	25	24	453
work---shop	24	71	74	71	57	63	41	49	28	26	25	31	407
work---work	2900	91	12	9	13	4	5	1	3	3	1	0	17

average trip duration: 6169.4322424941565 seconds = 01:42:49
