Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
17	21:13:14	21:13:14	21:13:14	21:13:14	21:13:59	21:13:59			21:13:59	21:13:59	21:13:59	21:13:59	21:17:16	21:17:16	21:17:16	21:17:16	21:17:16	21:17:16			21:17:19	21:17:19		00:00:00	00:00:44		00:00:00	00:00:00	00:03:16	00:00:00	00:00:00		00:00:03	00:04:05
18	21:17:19	21:17:19	21:17:19	21:17:19	21:18:04	21:18:04			21:18:04	21:18:04	21:18:05	21:18:05	21:21:35	21:21:35	21:21:35	21:21:35	21:21:35	21:21:35			21:21:39	21:21:39		00:00:00	00:00:44		00:00:00	00:00:00	00:03:30	00:00:00	00:00:00		00:00:03	00:04:19
19	21:21:39	21:21:39	21:21:39	21:21:39	21:22:29	21:22:29			21:22:29	21:22:29	21:22:30	21:22:30	21:25:54	21:25:54	21:25:54	21:25:54	21:25:54	21:25:54			21:25:56	21:25:56		00:00:00	00:00:50		00:00:00	00:00:00	00:03:24	00:00:00	00:00:00		00:00:01	00:04:17
20	21:25:56	21:25:56	21:25:56	21:25:56	21:26:41	21:26:41			21:26:41	21:26:41	21:26:41	21:26:41	21:30:27	21:30:27	21:30:27	21:30:27	21:30:27	21:30:27	21:30:27	21:30:27	21:30:49	21:30:49		00:00:00	00:00:44		00:00:00	00:00:00	00:03:46	00:00:00	00:00:00	00:00:00	00:00:22	00:04:53
21	21:30:50	21:30:50	21:30:50	21:30:50	21:31:42	21:31:42			21:31:42	21:31:42	21:31:42	21:31:42	21:35:02	21:35:02	21:35:02	21:35:02	21:35:02	21:35:02			21:35:03	21:35:03		00:00:00	00:00:51		00:00:00	00:00:00	00:03:19	00:00:00	00:00:00		00:00:00	00:04:13
22	21:35:03	21:35:03	21:35:03	21:35:03	21:35:56	21:35:56			21:35:56	21:35:56	21:35:57	21:35:57	21:40:09	21:40:09	21:40:09	21:40:09	21:40:09	21:40:09			21:40:09	21:40:09		00:00:00	00:00:52		00:00:00	00:00:00	00:04:12	00:00:00	00:00:00		00:00:00	00:05:06
23	21:40:09	21:40:09	21:40:09	21:40:09	21:41:11	21:41:11			21:41:12	21:41:12	21:41:12	21:41:12	21:45:28	21:45:28	21:45:28	21:45:28	21:45:28	21:45:28			21:45:30	21:45:30		00:00:00	00:01:01		00:00:00	00:00:00	00:04:15	00:00:00	00:00:00		00:00:01	00:05:20
24	21:45:30	21:45:30	21:45:30	21:45:30	21:46:28	21:46:28			21:46:28	21:46:28	21:46:29	21:46:29	21:50:50	21:50:50	21:50:50	21:50:50	21:50:50	21:50:50			21:50:50	21:50:50		00:00:00	00:00:58		00:00:00	00:00:00	00:04:21	00:00:00	00:00:00		00:00:00	00:05:20
25	21:50:50	21:50:50	21:50:51	21:50:51	21:51:47	21:51:47			21:51:48	21:51:48	21:51:48	21:51:48	21:55:54	21:55:54	21:55:54	21:55:54	21:55:54	21:55:54			21:55:55	21:55:55		00:00:00	00:00:56		00:00:00	00:00:00	00:04:06	00:00:00	00:00:00		00:00:00	00:05:04
26	21:55:55	21:55:55	21:55:55	21:55:55	21:56:54	21:56:54			21:56:54	21:56:54	21:56:56	21:56:56	22:01:12	22:01:12	22:01:12	22:01:12	22:01:13	22:01:13			22:01:15	22:01:15		00:00:00	00:00:59		00:00:00	00:00:01	00:04:16	00:00:00	00:00:00		00:00:02	00:05:19
