ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	8546.493113520282	
1	9182.244478690014	
2	9711.932867216989	
3	10153.41488236421	
4	10601.170782481062	
5	10942.121633488938	
6	11227.825115331685	
7	11442.993488303684	
8	11614.417801940983	
9	11762.280983174367	
10	11900.502330740474	
11	12026.315774386865	
12	12108.091831552989	
13	12177.091523497345	
14	12238.961708484341	
15	12297.968825856278	
16	12351.144900924193	
17	12390.201728814176	
18	12414.248485911352	
19	12437.359814074414	
20	12467.870505663052	
21	12479.192415133946	
22	12511.74994459953	
23	12518.36621782717	
24	12538.003923030563	
25	12556.963064324931	
26	12569.887091904367	
27	12570.297910117542	
28	12581.129837091494	
29	12598.68281863246	
30	12607.978470478938	
31	12603.046889936288	
32	12614.349824815643	
33	12621.92000118231	
34	12620.71929853446	
35	12626.412726430275	
36	12634.9012794287	
37	12639.066504154696	
38	12648.95429403561	
39	12640.397232890355	
40	12650.21197430486	
41	12657.740025296485	
42	12658.48866516548	
43	12663.285464979035	
44	12661.427672894426	
45	12652.606841247392	
46	12676.782586401552	
47	12674.736889575068	
48	12691.447988306338	
49	12694.198161868424	
50	12690.52103233355	
51	12701.88530683448	
52	12708.687006267979	
53	12704.301309328654	
54	12705.382957285625	
55	12716.1043779139	
56	12710.043522392909	
57	12707.31047290406	
58	12703.014966344475	
59	12711.017542509451	
60	12711.483404770377	
61	12710.353412271352	
62	12713.775446366551	
63	12714.620569088433	
64	12712.73651266193	
65	12722.618868069147	
66	12716.066660284061	
67	12726.586338624309	
68	12720.983957369755	
69	12733.11306381137	
70	12735.07944015491	
71	12733.929522351069	
72	12735.168404251284	
73	12727.939037816854	
74	12730.749573795889	
75	12732.91006587286	
76	12748.818324466904	
77	12740.918335125825	
78	12739.844458649275	
79	12742.83229740592	
80	12737.980345805816	
81	12744.201363462671	
82	12734.755555892118	
83	12749.876194334202	
84	12746.007779533325	
85	12749.759193979893	
86	12746.248619257853	
87	12752.264431119871	
88	12762.120123261155	
89	12748.672935424403	
