Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
17	14:33:01	14:33:01	14:33:01	14:33:01	14:33:47	14:33:47			14:33:47	14:33:47	14:33:48	14:33:48	14:37:26	14:37:26	14:37:26	14:37:26	14:37:26	14:37:26			14:37:28	14:37:28		00:00:00	00:00:46		00:00:00	00:00:00	00:03:38	00:00:00	00:00:00		00:00:02	00:04:27
18	14:37:28	14:37:28	14:37:28	14:37:28	14:38:10	14:38:10			14:38:10	14:38:10	14:38:10	14:38:10	14:40:50	14:40:50	14:40:50	14:40:50	14:40:50	14:40:50			14:40:52	14:40:52		00:00:00	00:00:41		00:00:00	00:00:00	00:02:40	00:00:00	00:00:00		00:00:01	00:03:23
19	14:40:52	14:40:52	14:40:52	14:40:52	14:41:30	14:41:30			14:41:31	14:41:31	14:41:31	14:41:31	14:44:33	14:44:33	14:44:33	14:44:33	14:44:33	14:44:33			14:44:37	14:44:37		00:00:00	00:00:38		00:00:00	00:00:00	00:03:01	00:00:00	00:00:00		00:00:03	00:03:44
20	14:44:37	14:44:37	14:44:37	14:44:37	14:45:16	14:45:16			14:45:16	14:45:16	14:45:17	14:45:17	14:48:21	14:48:21	14:48:22	14:48:22	14:48:22	14:48:22	14:48:22	14:48:22	14:48:42	14:48:42		00:00:00	00:00:39		00:00:00	00:00:00	00:03:04	00:00:00	00:00:00	00:00:00	00:00:20	00:04:05
21	14:48:42	14:48:42	14:48:43	14:48:43	14:49:22	14:49:22			14:49:22	14:49:22	14:49:22	14:49:22	14:52:08	14:52:08	14:52:08	14:52:08	14:52:08	14:52:08			14:52:09	14:52:09		00:00:00	00:00:39		00:00:00	00:00:00	00:02:45	00:00:00	00:00:00		00:00:00	00:03:26
22	14:52:09	14:52:09	14:52:09	14:52:09	14:52:50	14:52:50			14:52:50	14:52:50	14:52:51	14:52:51	14:55:35	14:55:35	14:55:35	14:55:35	14:55:35	14:55:35			14:55:36	14:55:36		00:00:00	00:00:41		00:00:00	00:00:00	00:02:44	00:00:00	00:00:00		00:00:00	00:03:27
23	14:55:36	14:55:36	14:55:36	14:55:36	14:56:17	14:56:17			14:56:17	14:56:17	14:56:17	14:56:17	14:59:09	14:59:09	14:59:09	14:59:09	14:59:09	14:59:09			14:59:10	14:59:10		00:00:00	00:00:40		00:00:00	00:00:00	00:02:52	00:00:00	00:00:00		00:00:00	00:03:33
24	14:59:10	14:59:10	14:59:10	14:59:10	14:59:50	14:59:50			14:59:50	14:59:50	14:59:50	14:59:50	15:02:37	15:02:37	15:02:37	15:02:37	15:02:37	15:02:37			15:02:38	15:02:38		00:00:00	00:00:39		00:00:00	00:00:00	00:02:46	00:00:00	00:00:00		00:00:00	00:03:27
25	15:02:38	15:02:38	15:02:38	15:02:38	15:03:20	15:03:20			15:03:20	15:03:20	15:03:20	15:03:20	15:06:07	15:06:07	15:06:07	15:06:07	15:06:07	15:06:07			15:06:07	15:06:07		00:00:00	00:00:41		00:00:00	00:00:00	00:02:46	00:00:00	00:00:00		00:00:00	00:03:29
26	15:06:08	15:06:08	15:06:08	15:06:08	15:06:47	15:06:47			15:06:47	15:06:47	15:06:47	15:06:47	15:09:31	15:09:31	15:09:31	15:09:31	15:09:31	15:09:31			15:09:33	15:09:33		00:00:00	00:00:39		00:00:00	00:00:00	00:02:43	00:00:00	00:00:00		00:00:02	00:03:25
