pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	91	2	0	0	1	0	0	0	0	0	0	0	3
education---errand	4	6	4	8	8	5	1	2	1	0	2	0	27
education---home	160	161	125	100	98	81	70	60	68	56	49	47	724
education---leisure	1	1	5	2	5	7	9	4	5	4	9	5	51
education---shop	0	4	2	5	0	4	0	2	3	0	2	1	18
errand---education	5	10	7	5	1	0	4	3	1	0	0	1	15
errand---errand	827	26	4	4	4	2	2	0	0	0	0	0	5
errand---home	4778	158	40	25	15	5	15	7	7	4	3	7	20
errand---leisure	10	25	36	30	28	27	21	22	20	17	13	11	239
errand---shop	22	72	61	56	43	35	38	36	21	25	22	18	357
errand---work	54	45	59	48	38	44	51	55	47	31	36	32	567
home---education	198	214	162	143	106	69	78	65	64	53	53	40	814
home---errand	5462	229	55	39	29	19	18	11	13	7	7	4	49
home---home	387	9	3	2	1	0	0	1	0	0	0	0	2
home---leisure	105	255	319	274	261	210	207	200	189	172	143	135	2288
home---shop	101	284	338	323	275	251	207	219	184	207	146	144	2326
home---work	632	755	746	719	674	579	497	521	417	385	314	311	5708
leisure---education	1	3	1	4	2	2	4	0	2	3	0	2	12
leisure---errand	11	31	52	32	28	27	17	17	18	16	17	13	145
leisure---home	116	337	413	411	314	283	245	233	185	149	134	145	1730
leisure---leisure	16	79	91	90	71	50	39	51	40	24	18	20	258
leisure---shop	32	59	62	59	48	35	29	20	24	21	11	15	201
leisure---work	28	59	61	34	54	38	40	28	24	28	30	14	285
shop---education	0	0	3	2	2	2	0	0	1	1	1	0	11
shop---errand	6	30	38	31	37	32	19	11	15	10	12	8	160
shop---home	152	419	445	408	363	320	245	254	208	193	180	144	2229
shop---leisure	23	64	69	52	55	43	26	21	14	24	15	14	226
shop---shop	59	115	109	91	73	56	44	36	37	35	26	18	312
shop---work	13	32	29	21	26	27	20	18	18	16	7	12	144
work---errand	36	47	33	53	45	54	33	26	34	34	27	30	490
work---home	293	395	412	409	405	391	397	389	366	352	313	304	5111
work---leisure	22	62	68	47	64	55	46	49	45	41	25	31	587
work---shop	24	57	73	53	63	55	53	40	50	33	32	37	525
work---work	3004	99	30	29	14	8	5	7	3	3	3	4	26

average trip duration: 5575.411116952107 seconds = 01:32:55
