pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	88	2	1	2	1	0	1	0	0	0	1	0	3
education---errand	5	6	0	3	3	4	5	2	8	1	4	3	26
education---home	130	158	119	107	90	71	74	58	59	61	46	60	861
education---leisure	1	3	3	2	2	6	7	6	7	3	6	5	60
education---shop	0	1	2	5	2	3	1	3	2	2	2	4	17
errand---education	7	7	8	4	4	3	2	0	0	2	1	1	15
errand---errand	852	28	6	7	3	3	5	2	1	1	2	0	5
errand---home	4943	209	37	33	19	11	10	12	7	3	1	3	43
errand---leisure	9	26	31	36	35	23	21	15	19	20	16	16	293
errand---shop	20	71	55	55	44	44	32	30	27	29	35	25	404
errand---work	44	41	67	48	46	41	37	48	45	38	47	35	615
home---education	188	196	154	130	114	85	89	74	53	54	39	47	882
home---errand	5527	243	70	35	32	21	21	11	6	7	2	10	71
home---home	399	15	3	0	3	3	2	0	0	1	0	0	4
home---leisure	100	244	300	276	283	225	186	188	197	176	170	169	2627
home---shop	100	287	294	304	280	261	226	222	174	194	176	164	2604
home---work	591	750	754	715	637	622	494	508	434	417	386	345	6001
leisure---education	1	1	2	2	3	1	2	2	3	1	1	1	18
leisure---errand	15	26	52	33	30	29	28	26	13	19	10	9	198
leisure---home	107	314	413	392	360	304	262	225	191	206	151	173	2212
leisure---leisure	12	75	98	103	64	64	47	43	46	23	29	25	310
leisure---shop	24	61	53	53	45	38	29	37	24	28	14	17	254
leisure---work	20	54	50	48	39	37	36	38	31	29	20	15	361
shop---education	1	0	1	2	3	0	0	1	3	0	2	1	11
shop---errand	5	24	40	33	28	24	22	19	24	14	7	7	200
shop---home	124	405	419	395	357	351	258	246	254	206	221	177	2690
shop---leisure	24	62	72	48	61	44	33	23	27	18	14	14	258
shop---shop	52	103	110	87	67	56	59	54	38	29	33	23	379
shop---work	11	31	29	30	14	23	13	20	17	14	7	13	187
work---errand	29	43	53	37	48	37	41	29	40	26	32	36	588
work---home	240	357	379	366	409	349	391	386	366	356	352	347	6075
work---leisure	24	53	61	54	60	50	44	47	47	27	33	27	700
work---shop	21	52	58	48	52	58	53	45	42	33	40	44	640
work---work	3035	141	25	22	16	18	10	5	4	5	1	4	36

average trip duration: 5326.103442448194 seconds = 01:28:46
