pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	87	3	1	0	1	0	0	0	0	0	0	0	3
education---errand	8	2	4	6	3	7	4	2	0	2	3	1	25
education---home	182	172	136	103	83	70	53	56	44	57	61	37	676
education---leisure	1	4	4	5	3	5	9	3	6	3	3	5	54
education---shop	0	4	2	5	0	2	1	2	0	1	3	3	18
errand---education	8	6	6	2	2	2	3	0	1	1	2	1	16
errand---errand	797	24	6	5	4	0	3	0	1	1	0	0	6
errand---home	4667	147	23	23	18	12	5	2	8	5	3	3	16
errand---leisure	12	25	38	36	34	18	16	22	14	19	12	8	209
errand---shop	29	58	64	68	34	44	33	27	18	26	18	19	329
errand---work	51	51	58	48	49	42	53	46	39	33	30	20	566
home---education	210	210	163	141	114	81	74	62	74	45	39	34	769
home---errand	5455	213	50	27	28	14	13	10	5	4	7	3	41
home---home	380	9	1	1	0	0	1	0	0	1	0	1	2
home---leisure	102	258	317	302	231	212	229	192	173	153	137	121	2085
home---shop	110	316	361	331	262	216	252	194	199	138	136	117	2222
home---work	632	795	751	726	665	599	481	451	370	359	324	272	5508
leisure---education	1	1	4	2	2	1	1	1	4	1	4	1	11
leisure---errand	11	37	43	34	28	20	18	18	14	18	9	10	127
leisure---home	120	360	410	370	295	264	218	209	174	149	128	95	1500
leisure---leisure	16	87	86	98	61	51	46	34	26	24	18	10	244
leisure---shop	25	69	63	62	33	31	24	33	23	14	14	12	173
leisure---work	32	65	48	51	45	32	33	32	26	25	18	12	268
shop---education	0	0	3	3	2	0	2	0	2	0	1	1	8
shop---errand	6	29	37	47	34	21	22	10	16	12	5	4	141
shop---home	138	476	461	406	354	286	257	237	202	176	139	109	1982
shop---leisure	27	64	70	58	50	28	24	20	19	18	16	14	202
shop---shop	62	114	106	93	65	57	52	38	20	27	24	16	273
shop---work	22	26	34	30	25	24	22	10	12	11	7	4	138
work---errand	33	53	53	49	44	42	33	33	38	23	32	23	437
work---home	348	449	412	437	401	422	370	386	354	303	300	246	4583
work---leisure	27	63	62	59	65	58	47	42	46	36	31	38	506
work---shop	17	75	69	59	66	44	55	55	41	47	31	21	462
work---work	2957	101	24	17	8	5	7	3	4	4	3	1	24

average trip duration: 5787.982952248975 seconds = 01:36:27
