time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_car	arrivals_car	stuck_car	en-route_car
00:00:00	0	0	0	0	0	0	0	0	0
00:05:00	300	0	0	0	0	0	0	0	0
00:10:00	600	0	0	0	0	0	0	0	0
00:15:00	900	0	0	0	0	0	0	0	0
00:20:00	1200	0	0	0	0	0	0	0	0
00:25:00	1500	0	0	0	0	0	0	0	0
00:30:00	1800	0	0	0	0	0	0	0	0
00:35:00	2100	0	0	0	0	0	0	0	0
00:40:00	2400	0	0	0	0	0	0	0	0
00:45:00	2700	0	0	0	0	0	0	0	0
00:50:00	3000	0	0	0	0	0	0	0	0
00:55:00	3300	0	0	0	0	0	0	0	0
01:00:00	3600	0	0	0	0	0	0	0	0
01:05:00	3900	0	0	0	0	0	0	0	0
01:10:00	4200	0	0	0	0	0	0	0	0
01:15:00	4500	0	0	0	0	0	0	0	0
01:20:00	4800	0	0	0	0	0	0	0	0
01:25:00	5100	0	0	0	0	0	0	0	0
01:30:00	5400	0	0	0	0	0	0	0	0
01:35:00	5700	0	0	0	0	0	0	0	0
01:40:00	6000	0	0	0	0	0	0	0	0
01:45:00	6300	0	0	0	0	0	0	0	0
01:50:00	6600	0	0	0	0	0	0	0	0
01:55:00	6900	0	0	0	0	0	0	0	0
02:00:00	7200	0	0	0	0	0	0	0	0
02:05:00	7500	0	0	0	0	0	0	0	0
02:10:00	7800	0	0	0	0	0	0	0	0
02:15:00	8100	0	0	0	0	0	0	0	0
02:20:00	8400	0	0	0	0	0	0	0	0
02:25:00	8700	0	0	0	0	0	0	0	0
02:30:00	9000	0	0	0	0	0	0	0	0
02:35:00	9300	0	0	0	0	0	0	0	0
02:40:00	9600	0	0	0	0	0	0	0	0
02:45:00	9900	0	0	0	0	0	0	0	0
02:50:00	10200	0	0	0	0	0	0	0	0
02:55:00	10500	0	0	0	0	0	0	0	0
03:00:00	10800	0	0	0	0	0	0	0	0
03:05:00	11100	0	0	0	0	0	0	0	0
03:10:00	11400	0	0	0	0	0	0	0	0
03:15:00	11700	0	0	0	0	0	0	0	0
03:20:00	12000	0	0	0	0	0	0	0	0
03:25:00	12300	0	0	0	0	0	0	0	0
03:30:00	12600	8	0	0	8	8	0	0	8
03:35:00	12900	1	1	0	8	1	1	0	8
03:40:00	13200	7	4	0	11	7	4	0	11
03:45:00	13500	8	3	0	16	8	3	0	16
03:50:00	13800	5	5	0	16	5	5	0	16
03:55:00	14100	11	6	0	21	11	6	0	21
04:00:00	14400	23	10	0	34	23	10	0	34
04:05:00	14700	15	12	0	37	15	12	0	37
04:10:00	15000	26	15	0	48	26	15	0	48
04:15:00	15300	26	13	0	61	26	13	0	61
04:20:00	15600	24	24	0	61	24	24	0	61
04:25:00	15900	20	16	0	65	20	16	0	65
04:30:00	16200	38	27	0	76	38	27	0	76
04:35:00	16500	34	31	0	79	34	31	0	79
04:40:00	16800	27	25	0	81	27	25	0	81
04:45:00	17100	37	24	0	94	37	24	0	94
04:50:00	17400	37	25	0	106	37	25	0	106
04:55:00	17700	31	29	0	108	31	29	0	108
05:00:00	18000	49	42	0	115	49	42	0	115
05:05:00	18300	35	32	0	118	35	32	0	118
05:10:00	18600	48	40	0	126	48	40	0	126
05:15:00	18900	39	39	0	126	39	39	0	126
05:20:00	19200	57	42	0	141	57	42	0	141
05:25:00	19500	63	31	0	173	63	31	0	173
05:30:00	19800	67	52	0	188	67	52	0	188
05:35:00	20100	67	46	0	209	67	46	0	209
05:40:00	20400	59	54	0	214	59	54	0	214
05:45:00	20700	90	70	0	234	90	70	0	234
05:50:00	21000	102	65	0	271	102	65	0	271
05:55:00	21300	100	69	0	302	100	69	0	302
06:00:00	21600	88	61	0	329	88	61	0	329
06:05:00	21900	96	84	0	341	96	84	0	341
06:10:00	22200	91	78	0	354	91	78	0	354
06:15:00	22500	144	92	0	406	144	92	0	406
06:20:00	22800	150	89	0	467	150	89	0	467
06:25:00	23100	162	101	0	528	162	101	0	528
06:30:00	23400	186	129	0	585	186	129	0	585
06:35:00	23700	192	102	0	675	192	102	0	675
06:40:00	24000	231	139	0	767	231	139	0	767
06:45:00	24300	256	165	0	858	256	165	0	858
06:50:00	24600	304	176	0	986	304	176	0	986
06:55:00	24900	318	161	0	1143	318	161	0	1143
07:00:00	25200	385	188	0	1340	385	188	0	1340
07:05:00	25500	415	208	0	1547	415	208	0	1547
07:10:00	25800	393	220	0	1720	393	220	0	1720
07:15:00	26100	502	219	0	2003	502	219	0	2003
07:20:00	26400	489	265	0	2227	489	265	0	2227
07:25:00	26700	527	274	0	2480	527	274	0	2480
07:30:00	27000	577	293	0	2764	577	293	0	2764
07:35:00	27300	562	276	0	3050	562	276	0	3050
07:40:00	27600	608	310	0	3348	608	310	0	3348
07:45:00	27900	572	305	0	3615	572	305	0	3615
07:50:00	28200	565	348	0	3832	565	348	0	3832
07:55:00	28500	585	372	0	4045	585	372	0	4045
08:00:00	28800	558	365	0	4238	558	365	0	4238
08:05:00	29100	569	328	0	4479	569	328	0	4479
08:10:00	29400	568	384	0	4663	568	384	0	4663
08:15:00	29700	569	383	0	4849	569	383	0	4849
08:20:00	30000	549	384	0	5014	549	384	0	5014
08:25:00	30300	561	411	0	5164	561	411	0	5164
08:30:00	30600	566	405	0	5325	566	405	0	5325
08:35:00	30900	519	384	0	5460	519	384	0	5460
08:40:00	31200	450	351	0	5559	450	351	0	5559
08:45:00	31500	456	357	0	5658	456	357	0	5658
08:50:00	31800	445	340	0	5763	445	340	0	5763
08:55:00	32100	418	382	0	5799	418	382	0	5799
09:00:00	32400	401	333	0	5867	401	333	0	5867
09:05:00	32700	396	348	0	5915	396	348	0	5915
09:10:00	33000	361	338	0	5938	361	338	0	5938
09:15:00	33300	363	336	0	5965	363	336	0	5965
09:20:00	33600	310	312	0	5963	310	312	0	5963
