ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
50	-8.300480902201452	-12.218615375041496	-9.327810108741696	-7.371892562783382
51	-8.30667980418177	-11.945728440646104	-9.206632912471797	-7.363635841907205
52	-8.339127461555387	-11.485181574289173	-9.069997677886484	-7.361423553490325
53	-8.293178725522658	-11.236712855404368	-8.971013916546767	-7.353222425046884
54	-8.313950658258547	-11.094020632813288	-8.908680532507237	-7.347172322712601
55	-8.267748506471834	-10.90475889202337	-8.824825046326895	-7.337244509901423
56	-8.271937576059234	-10.712570666002826	-8.753279803720853	-7.321878664675196
57	-8.254907484234856	-10.58671382343174	-8.700590940415507	-7.309688226020454
58	-8.253660595751686	-10.451129065715202	-8.647161593741835	-7.307654123796783
59	-8.304837440535447	-10.347592792344232	-8.609112318840422	-7.309607395729531
60	-8.299075118928961	-10.201025486779406	-8.560920738143901	-7.305801319282984
61	-8.21396158313964	-10.094794294169631	-8.498826756508759	-7.281860825312414
62	-8.246111433786837	-9.998536204226093	-8.467362603486652	-7.279407290629366
63	-8.206776053766943	-9.89664917302793	-8.423330671257864	-7.267573431795379
64	-8.262243887598107	-9.856651593096613	-8.408333961398718	-7.263234179665729
65	-8.206702552826565	-9.750978675738496	-8.36348957180909	-7.258421285540298
66	-8.198624433012437	-9.624177660692558	-8.321534951552454	-7.260147140170262
67	-8.246356068149035	-9.582727832171715	-8.30465428743955	-7.258399504922961
68	-8.21033092709359	-9.528635980196912	-8.276375958808053	-7.24304036674399
69	-8.248361475273743	-9.512839708485426	-8.26453839496432	-7.246827013496955
70	-8.276860963602058	-9.480103855514914	-8.252881719723767	-7.245557929527433
71	-8.185282456577019	-9.407749612788967	-8.216957460956115	-7.231988950658116
72	-8.199555329682351	-9.398374197920068	-8.209715814802438	-7.225178047903382
73	-8.22869219493301	-9.40176561289962	-8.210071063585504	-7.230031668326034
74	-8.201191572629602	-9.361410415975183	-8.184599086827385	-7.219662296714086
75	-8.246090552052115	-9.349013372607494	-8.185589885957086	-7.227559810266477
76	-8.190496805509397	-9.299667067706569	-8.159556868154588	-7.212599153667316
77	-8.199103814027968	-9.288232520190252	-8.150046741896162	-7.21461451764562
78	-8.177503595530414	-9.237313378139119	-8.125989790767731	-7.200949980639349
79	-8.210530963048953	-9.221564194047941	-8.125149842580168	-7.208452677287218
80	-8.206251175461805	-9.19274020909384	-8.112326573274968	-7.194712772430488
81	-8.157793658037267	-9.141839805288074	-8.087717616024896	-7.195297322712594
82	-8.245328991038717	-9.185647886934312	-8.101999887063323	-7.19685771379571
83	-8.160163527491939	-9.116148771987971	-8.072968767286127	-7.190325049784149
84	-8.204256209204475	-9.138432002986944	-8.08068090934643	-7.192556560460146
85	-8.21954675572506	-9.14248990485659	-8.078138333425429	-7.191084121584183
86	-8.241720323044557	-9.113487387985328	-8.070146345004938	-7.188807805066893
87	-8.194191351366173	-9.096117034516983	-8.052688229477683	-7.172698169045197
88	-8.162464597853646	-9.05016954309093	-8.03157557989447	-7.170264064055679
89	-8.171584730058544	-9.022651565438606	-8.022740013183457	-7.172249488328282
90	-8.229345613452715	-9.027428020245523	-8.02819540094764	-7.1738860769996355
91	-8.170439899325032	-8.990737775196255	-8.006983251972825	-7.161260855736166
92	-8.159371957627942	-8.965491481358487	-7.998047603901554	-7.1626160941474994
93	-8.132067499170189	-8.939515018254166	-7.983072835997668	-7.152742006859079
94	-8.12635150459115	-8.915533590551965	-7.9713662381991774	-7.148089597853659
95	-8.162147292288957	-8.939800171479076	-7.97663199054089	-7.145534282000159
96	-8.114701916694287	-8.900943826750702	-7.9595874532119755	-7.140646296603497
97	-8.142970530478967	-8.907484995574631	-7.958971355607099	-7.1390332171699376
98	-8.145042040048544	-8.885196371279909	-7.948853480980521	-7.131669985617795
99	-8.143716948777472	-8.871292731496762	-7.946795345170885	-7.136819545856781
100	-8.149323210532108	-8.87385274919785	-7.944350528496852	-7.133298207766281
