time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_car	arrivals_car	stuck_car	en-route_car
00:00:00	0	0	0	0	0	0	0	0	0
00:05:00	300	0	0	0	0	0	0	0	0
00:10:00	600	0	0	0	0	0	0	0	0
00:15:00	900	0	0	0	0	0	0	0	0
00:20:00	1200	0	0	0	0	0	0	0	0
00:25:00	1500	0	0	0	0	0	0	0	0
00:30:00	1800	0	0	0	0	0	0	0	0
00:35:00	2100	0	0	0	0	0	0	0	0
00:40:00	2400	0	0	0	0	0	0	0	0
00:45:00	2700	0	0	0	0	0	0	0	0
00:50:00	3000	0	0	0	0	0	0	0	0
00:55:00	3300	0	0	0	0	0	0	0	0
01:00:00	3600	0	0	0	0	0	0	0	0
01:05:00	3900	0	0	0	0	0	0	0	0
01:10:00	4200	0	0	0	0	0	0	0	0
01:15:00	4500	0	0	0	0	0	0	0	0
01:20:00	4800	0	0	0	0	0	0	0	0
01:25:00	5100	0	0	0	0	0	0	0	0
01:30:00	5400	0	0	0	0	0	0	0	0
01:35:00	5700	0	0	0	0	0	0	0	0
01:40:00	6000	0	0	0	0	0	0	0	0
01:45:00	6300	0	0	0	0	0	0	0	0
01:50:00	6600	0	0	0	0	0	0	0	0
01:55:00	6900	0	0	0	0	0	0	0	0
02:00:00	7200	0	0	0	0	0	0	0	0
02:05:00	7500	0	0	0	0	0	0	0	0
02:10:00	7800	0	0	0	0	0	0	0	0
02:15:00	8100	0	0	0	0	0	0	0	0
02:20:00	8400	0	0	0	0	0	0	0	0
02:25:00	8700	0	0	0	0	0	0	0	0
02:30:00	9000	0	0	0	0	0	0	0	0
02:35:00	9300	0	0	0	0	0	0	0	0
02:40:00	9600	0	0	0	0	0	0	0	0
02:45:00	9900	0	0	0	0	0	0	0	0
02:50:00	10200	0	0	0	0	0	0	0	0
02:55:00	10500	0	0	0	0	0	0	0	0
03:00:00	10800	0	0	0	0	0	0	0	0
03:05:00	11100	0	0	0	0	0	0	0	0
03:10:00	11400	0	0	0	0	0	0	0	0
03:15:00	11700	0	0	0	0	0	0	0	0
03:20:00	12000	0	0	0	0	0	0	0	0
03:25:00	12300	0	0	0	0	0	0	0	0
03:30:00	12600	8	0	0	8	8	0	0	8
03:35:00	12900	1	1	0	8	1	1	0	8
03:40:00	13200	7	4	0	11	7	4	0	11
03:45:00	13500	8	3	0	16	8	3	0	16
03:50:00	13800	5	6	0	15	5	6	0	15
03:55:00	14100	11	6	0	20	11	6	0	20
04:00:00	14400	23	9	0	34	23	9	0	34
04:05:00	14700	15	13	0	36	15	13	0	36
04:10:00	15000	26	14	0	48	26	14	0	48
04:15:00	15300	26	11	0	63	26	11	0	63
04:20:00	15600	24	26	0	61	24	26	0	61
04:25:00	15900	20	16	0	65	20	16	0	65
04:30:00	16200	38	27	0	76	38	27	0	76
04:35:00	16500	34	31	0	79	34	31	0	79
04:40:00	16800	27	23	0	83	27	23	0	83
04:45:00	17100	37	27	0	93	37	27	0	93
04:50:00	17400	37	26	0	104	37	26	0	104
04:55:00	17700	31	29	0	106	31	29	0	106
05:00:00	18000	49	41	0	114	49	41	0	114
05:05:00	18300	35	32	0	117	35	32	0	117
05:10:00	18600	48	40	0	125	48	40	0	125
05:15:00	18900	39	39	0	125	39	39	0	125
05:20:00	19200	57	42	0	140	57	42	0	140
05:25:00	19500	63	36	0	167	63	36	0	167
05:30:00	19800	67	51	0	183	67	51	0	183
05:35:00	20100	67	46	0	204	67	46	0	204
05:40:00	20400	59	56	0	207	59	56	0	207
05:45:00	20700	90	73	0	224	90	73	0	224
05:50:00	21000	101	60	0	265	101	60	0	265
05:55:00	21300	101	78	0	288	101	78	0	288
06:00:00	21600	89	67	0	310	89	67	0	310
06:05:00	21900	96	73	0	333	96	73	0	333
06:10:00	22200	91	73	0	351	91	73	0	351
06:15:00	22500	145	95	0	401	145	95	0	401
06:20:00	22800	148	102	0	447	148	102	0	447
06:25:00	23100	162	109	0	500	162	109	0	500
06:30:00	23400	187	125	0	562	187	125	0	562
06:35:00	23700	192	111	0	643	192	111	0	643
06:40:00	24000	231	142	0	732	231	142	0	732
06:45:00	24300	257	168	0	821	257	168	0	821
06:50:00	24600	302	162	0	961	302	162	0	961
06:55:00	24900	316	194	0	1083	316	194	0	1083
07:00:00	25200	390	197	0	1276	390	197	0	1276
07:05:00	25500	414	220	0	1470	414	220	0	1470
07:10:00	25800	395	195	0	1670	395	195	0	1670
07:15:00	26100	507	252	0	1925	507	252	0	1925
07:20:00	26400	488	277	0	2136	488	277	0	2136
07:25:00	26700	527	302	0	2361	527	302	0	2361
07:30:00	27000	580	336	0	2605	580	336	0	2605
07:35:00	27300	561	299	0	2867	561	299	0	2867
07:40:00	27600	617	309	0	3175	617	309	0	3175
07:45:00	27900	568	298	0	3445	568	298	0	3445
07:50:00	28200	564	338	0	3671	564	338	0	3671
07:55:00	28500	588	357	0	3902	588	357	0	3902
08:00:00	28800	560	367	0	4095	560	367	0	4095
08:05:00	29100	569	364	0	4300	569	364	0	4300
08:10:00	29400	565	378	0	4487	565	378	0	4487
08:15:00	29700	567	423	0	4631	567	423	0	4631
08:20:00	30000	565	411	0	4785	565	411	0	4785
08:25:00	30300	558	400	0	4943	558	400	0	4943
08:30:00	30600	562	410	0	5095	562	410	0	5095
08:35:00	30900	520	419	0	5196	520	419	0	5196
08:40:00	31200	449	373	0	5272	449	373	0	5272
08:45:00	31500	463	385	0	5350	463	385	0	5350
08:50:00	31800	452	380	0	5422	452	380	0	5422
08:55:00	32100	418	383	0	5457	418	383	0	5457
09:00:00	32400	409	364	0	5502	409	364	0	5502
09:05:00	32700	392	334	0	5560	392	334	0	5560
09:10:00	33000	360	380	0	5540	360	380	0	5540
09:15:00	33300	370	360	0	5550	370	360	0	5550
09:20:00	33600	319	345	0	5524	319	345	0	5524
