pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	85	4	3	1	1	1	0	0	0	0	1	0	3
education---errand	3	4	3	4	2	3	2	2	2	5	1	6	36
education---home	135	136	114	91	80	74	70	81	52	60	48	49	971
education---leisure	0	3	6	2	1	4	8	6	5	4	11	4	58
education---shop	0	1	2	1	2	2	3	4	1	3	1	1	24
errand---education	5	8	6	2	3	2	2	2	2	0	2	3	19
errand---errand	880	32	4	6	3	3	1	4	3	2	2	2	5
errand---home	5040	235	32	37	26	13	11	10	6	7	6	4	56
errand---leisure	12	23	37	39	32	28	18	21	16	19	22	19	317
errand---shop	21	59	64	57	37	32	36	31	37	29	33	32	439
errand---work	41	53	44	58	52	50	42	49	47	31	44	29	638
home---education	172	200	151	127	100	109	67	63	66	57	55	66	896
home---errand	5559	273	62	31	31	26	28	15	10	6	7	3	85
home---home	413	15	2	3	1	0	0	0	1	0	1	0	5
home---leisure	92	258	265	268	258	234	219	213	199	181	176	188	2826
home---shop	92	245	296	298	277	260	232	212	209	186	185	165	2794
home---work	565	731	712	694	663	624	562	521	504	438	403	374	6049
leisure---education	1	3	2	3	1	0	3	2	3	1	2	1	19
leisure---errand	10	30	37	40	32	22	21	22	22	15	22	16	236
leisure---home	115	303	421	386	378	322	244	257	228	199	193	154	2579
leisure---leisure	9	70	100	97	78	61	52	59	34	29	27	28	351
leisure---shop	27	52	56	61	40	33	34	27	27	26	31	13	274
leisure---work	25	50	47	34	45	37	40	46	27	35	12	26	392
shop---education	0	0	4	1	0	1	2	2	0	0	2	2	12
shop---errand	6	28	30	29	27	18	25	23	8	20	18	15	225
shop---home	127	380	426	411	363	314	273	280	244	237	214	206	2982
shop---leisure	25	57	63	63	52	39	31	31	30	25	19	12	298
shop---shop	45	110	87	102	84	70	46	43	44	33	33	23	425
shop---work	10	26	22	24	20	26	18	12	16	11	11	10	225
work---errand	25	29	37	37	38	35	44	48	33	27	27	31	680
work---home	203	291	360	319	335	365	379	369	359	388	313	303	6935
work---leisure	23	44	63	49	48	45	44	46	52	33	33	29	778
work---shop	15	49	48	47	50	54	47	48	44	34	42	33	743
work---work	3038	152	34	35	15	19	9	5	5	4	5	7	54

average trip duration: 5164.825390468563 seconds = 01:26:04
