time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_car	arrivals_car	stuck_car	en-route_car
00:00:00	0	0	0	0	0	0	0	0	0
00:05:00	300	0	0	0	0	0	0	0	0
00:10:00	600	0	0	0	0	0	0	0	0
00:15:00	900	0	0	0	0	0	0	0	0
00:20:00	1200	0	0	0	0	0	0	0	0
00:25:00	1500	0	0	0	0	0	0	0	0
00:30:00	1800	0	0	0	0	0	0	0	0
00:35:00	2100	0	0	0	0	0	0	0	0
00:40:00	2400	0	0	0	0	0	0	0	0
00:45:00	2700	0	0	0	0	0	0	0	0
00:50:00	3000	0	0	0	0	0	0	0	0
00:55:00	3300	0	0	0	0	0	0	0	0
01:00:00	3600	0	0	0	0	0	0	0	0
01:05:00	3900	0	0	0	0	0	0	0	0
01:10:00	4200	0	0	0	0	0	0	0	0
01:15:00	4500	0	0	0	0	0	0	0	0
01:20:00	4800	0	0	0	0	0	0	0	0
01:25:00	5100	0	0	0	0	0	0	0	0
01:30:00	5400	0	0	0	0	0	0	0	0
01:35:00	5700	0	0	0	0	0	0	0	0
01:40:00	6000	0	0	0	0	0	0	0	0
01:45:00	6300	0	0	0	0	0	0	0	0
01:50:00	6600	0	0	0	0	0	0	0	0
01:55:00	6900	0	0	0	0	0	0	0	0
02:00:00	7200	0	0	0	0	0	0	0	0
02:05:00	7500	0	0	0	0	0	0	0	0
02:10:00	7800	0	0	0	0	0	0	0	0
02:15:00	8100	0	0	0	0	0	0	0	0
02:20:00	8400	0	0	0	0	0	0	0	0
02:25:00	8700	0	0	0	0	0	0	0	0
02:30:00	9000	0	0	0	0	0	0	0	0
02:35:00	9300	0	0	0	0	0	0	0	0
02:40:00	9600	0	0	0	0	0	0	0	0
02:45:00	9900	0	0	0	0	0	0	0	0
02:50:00	10200	0	0	0	0	0	0	0	0
02:55:00	10500	0	0	0	0	0	0	0	0
03:00:00	10800	0	0	0	0	0	0	0	0
03:05:00	11100	0	0	0	0	0	0	0	0
03:10:00	11400	0	0	0	0	0	0	0	0
03:15:00	11700	0	0	0	0	0	0	0	0
03:20:00	12000	0	0	0	0	0	0	0	0
03:25:00	12300	0	0	0	0	0	0	0	0
03:30:00	12600	8	0	0	8	8	0	0	8
03:35:00	12900	1	1	0	8	1	1	0	8
03:40:00	13200	7	4	0	11	7	4	0	11
03:45:00	13500	8	3	0	16	8	3	0	16
03:50:00	13800	5	5	0	16	5	5	0	16
03:55:00	14100	11	6	0	21	11	6	0	21
04:00:00	14400	23	10	0	34	23	10	0	34
04:05:00	14700	15	12	0	37	15	12	0	37
04:10:00	15000	26	15	0	48	26	15	0	48
04:15:00	15300	26	13	0	61	26	13	0	61
04:20:00	15600	24	24	0	61	24	24	0	61
04:25:00	15900	20	14	0	67	20	14	0	67
04:30:00	16200	38	28	0	77	38	28	0	77
04:35:00	16500	34	31	0	80	34	31	0	80
04:40:00	16800	27	23	0	84	27	23	0	84
04:45:00	17100	37	25	0	96	37	25	0	96
04:50:00	17400	37	25	0	108	37	25	0	108
04:55:00	17700	31	31	0	108	31	31	0	108
05:00:00	18000	49	38	0	119	49	38	0	119
05:05:00	18300	35	34	0	120	35	34	0	120
05:10:00	18600	48	38	0	130	48	38	0	130
05:15:00	18900	39	39	0	130	39	39	0	130
05:20:00	19200	57	38	0	149	57	38	0	149
05:25:00	19500	63	33	0	179	63	33	0	179
05:30:00	19800	67	56	0	190	67	56	0	190
05:35:00	20100	67	46	0	211	67	46	0	211
05:40:00	20400	59	45	0	225	59	45	0	225
05:45:00	20700	90	78	0	237	90	78	0	237
05:50:00	21000	101	55	0	283	101	55	0	283
05:55:00	21300	100	66	0	317	100	66	0	317
06:00:00	21600	88	59	0	346	88	59	0	346
06:05:00	21900	97	88	0	355	97	88	0	355
06:10:00	22200	91	74	0	372	91	74	0	372
06:15:00	22500	143	78	0	437	143	78	0	437
06:20:00	22800	150	95	0	492	150	95	0	492
06:25:00	23100	162	102	0	552	162	102	0	552
06:30:00	23400	186	119	0	619	186	119	0	619
06:35:00	23700	192	104	0	707	192	104	0	707
06:40:00	24000	231	143	0	795	231	143	0	795
06:45:00	24300	256	150	0	901	256	150	0	901
06:50:00	24600	302	162	0	1041	302	162	0	1041
06:55:00	24900	315	165	0	1191	315	165	0	1191
07:00:00	25200	386	185	0	1392	386	185	0	1392
07:05:00	25500	413	204	0	1601	413	204	0	1601
07:10:00	25800	394	207	0	1788	394	207	0	1788
07:15:00	26100	506	216	0	2078	506	216	0	2078
07:20:00	26400	489	243	0	2324	489	243	0	2324
07:25:00	26700	519	261	0	2582	519	261	0	2582
07:30:00	27000	582	317	0	2847	582	317	0	2847
07:35:00	27300	563	264	0	3146	563	264	0	3146
07:40:00	27600	607	299	0	3454	607	299	0	3454
07:45:00	27900	572	285	0	3741	572	285	0	3741
07:50:00	28200	565	343	0	3963	565	343	0	3963
07:55:00	28500	590	338	0	4215	590	338	0	4215
08:00:00	28800	550	322	0	4443	550	322	0	4443
08:05:00	29100	567	302	0	4708	567	302	0	4708
08:10:00	29400	561	376	0	4893	561	376	0	4893
08:15:00	29700	559	342	0	5110	559	342	0	5110
08:20:00	30000	555	363	0	5302	555	363	0	5302
08:25:00	30300	555	372	0	5485	555	372	0	5485
08:30:00	30600	562	377	0	5670	562	377	0	5670
08:35:00	30900	511	326	0	5855	511	326	0	5855
08:40:00	31200	451	328	0	5978	451	328	0	5978
08:45:00	31500	455	339	0	6094	455	339	0	6094
08:50:00	31800	444	326	0	6212	444	326	0	6212
08:55:00	32100	415	334	0	6293	415	334	0	6293
09:00:00	32400	401	320	0	6374	401	320	0	6374
09:05:00	32700	393	333	0	6434	393	333	0	6434
09:10:00	33000	354	286	0	6502	354	286	0	6502
09:15:00	33300	347	292	0	6557	347	292	0	6557
09:20:00	33600	312	275	0	6594	312	275	0	6594
