pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	92	1	0	1	0	0	0	0	0	1	0	0	0
education---errand	8	7	7	4	3	2	0	0	1	0	1	0	20
education---home	225	206	127	99	76	56	50	47	30	41	38	28	548
education---leisure	1	3	4	7	7	6	5	5	2	4	1	2	46
education---shop	0	3	3	4	0	3	0	2	2	0	3	0	19
errand---education	6	7	5	2	1	2	2	0	1	2	0	1	15
errand---errand	753	22	1	0	1	1	0	0	0	0	0	0	2
errand---home	4379	121	21	17	7	2	5	2	3	3	0	1	9
errand---leisure	11	28	42	32	26	21	18	20	11	10	7	5	182
errand---shop	28	80	52	64	30	36	22	18	17	17	7	10	298
errand---work	67	46	54	47	46	40	39	29	33	27	17	18	542
home---education	256	244	139	126	71	63	52	48	52	32	30	28	778
home---errand	5380	155	29	15	16	10	6	6	3	5	3	2	34
home---home	357	4	1	0	0	0	0	0	1	0	0	0	1
home---leisure	126	296	287	246	219	195	166	143	131	85	93	65	1870
home---shop	131	372	312	299	285	202	176	153	120	103	77	76	2119
home---work	709	805	736	680	618	481	444	375	300	264	239	197	5325
leisure---education	1	5	2	0	3	0	1	2	3	0	1	0	10
leisure---errand	7	47	38	29	29	14	16	8	9	12	5	6	101
leisure---home	140	355	373	321	232	205	153	130	86	83	73	56	1200
leisure---leisure	17	74	92	78	66	36	33	22	16	14	15	10	211
leisure---shop	32	63	52	51	35	34	25	13	7	9	5	4	154
leisure---work	32	80	47	57	41	18	27	17	18	12	12	4	227
shop---education	0	1	2	2	2	2	2	1	1	0	0	2	5
shop---errand	12	27	31	31	22	17	14	11	8	7	6	4	126
shop---home	164	506	468	345	289	253	157	137	109	90	77	81	1650
shop---leisure	27	65	75	47	40	36	25	15	9	11	14	4	151
shop---shop	55	117	109	79	58	41	38	20	14	13	7	6	246
shop---work	23	41	35	24	21	15	16	12	6	2	7	3	98
work---errand	48	70	58	45	45	30	28	28	24	19	9	12	372
work---home	470	551	489	438	382	358	307	302	247	204	202	147	3636
work---leisure	30	70	66	86	56	46	34	41	25	24	23	22	412
work---shop	27	69	69	82	64	41	37	36	13	22	13	18	392
work---work	2840	58	9	9	5	4	1	1	2	1	1	2	11

average trip duration: 6772.422732046207 seconds = 01:52:52
