linkID,volume,capacity
153642,13,9000.0
153643,44,12000.0
153644,14,9000.0
232816-232814,1,2000.0
34484-34477,2,1200.0
550568-550566-471063,1,2400.0
608552,1,1200.0
608553,1,1200.0
608556,5,4000.0
344454,3,3000.0
608557,33,6000.0
319494,2,3000.0
212693,1,1200.0
535199,2,1200.0
212691,1,1200.0
50097-50095,1,1200.0
585314-585312,2,2400.0
218386-218388-218390,2,4000.0
212689,1,1200.0
212685,2,1200.0
344443,21,1200.0
212687,1,1200.0
344442,64,6000.0
428256-428257,6,1200.0
187059,5,2000.0
462493-86356-569736,9,12000.0
187058,6,2000.0
187062,6,6000.0
187063,8,6000.0
246003,1,1200.0
344439,53,6000.0
535175,2,1200.0
319473,26,6000.0
535176,2,1200.0
319474,26,6000.0
535177,1,1200.0
535178,2,1200.0
319471,1,3000.0
417814,1,1200.0
417816,1,1200.0
417817,1,1200.0
417818,1,1200.0
619041-619042,9,1200.0
75628-75630,1,1200.0
240161-348523,1,1200.0
344429,10,3000.0
344425,12,3000.0
344426,19,3000.0
344427,12,3000.0
344428,20,3000.0
147772-426445,3,1200.0
344422,19,3000.0
344423,12,3000.0
344424,19,3000.0
285625,10,3000.0
285626,2,3000.0
187041,2,1200.0
187042,6,2400.0
187043,5,2400.0
344414,1,4000.0
344415,1,4000.0
344416,1,4000.0
344412,23,9000.0
344413,29,9000.0
246026,1,2000.0
246028,1,2000.0
187000,9,4000.0
319454,3,3000.0
187001,5,4000.0
344408,9,6000.0
344409,15,6000.0
344403,3,1200.0
344404,6,6000.0
36391,27,6000.0
79427-79428,55,6000.0
319465,6,3000.0
319466,7,1200.0
36390,26,6000.0
75922,1,1200.0
577921-577916,1,4000.0
75923,1,2400.0
415066-536762,5,2000.0
574774,12,1200.0
574775,6,1200.0
574776,7,1200.0
574777,4,1200.0
246012,1,4000.0
246013,1,4000.0
246014,1,4000.0
3732,1,1200.0
75957,1,6000.0
3734,1,1200.0
3735,2,1200.0
75959,18,6000.0
319442,4,6000.0
319447,8,2000.0
123030-123031,29,4000.0
61315,1,2000.0
319446,11,2000.0
246024,1,2000.0
3743,1,1200.0
285670,1,4000.0
285672,1,1200.0
254749-254751-105357,23,3000.0
285675,1,1200.0
286609-293585,2,1200.0
319535,1,1200.0
319536,2,1200.0
319533,1,1200.0
319534,2,1200.0
286423-286424-286425-286426,1,6000.0
319528,80,9000.0
246077,1,1200.0
535000,1,1200.0
535001,1,1200.0
285688,1,1200.0
319547,1,4000.0
319548,1,4000.0
476398,2,1200.0
285695,1,2000.0
285696,3,2000.0
285697,3,4000.0
285698,3,4000.0
285699,3,4000.0
549616,1,1200.0
153086-153083,4,1200.0
445047-445069-196528,2,1200.0
246058,1,1200.0
605561-396423,10,6000.0
574616,5,1200.0
574617,10,1200.0
574618,6,1200.0
574619,10,1200.0
442884-442886,8,1200.0
339565-190750-518953,1,15000.000000000002
19551-110492,4,1200.0
340847-130559,20,3000.0
549605,1,4000.0
319526,14,4000.0
549606,1,4000.0
319527,2,3000.0
574620,8,1200.0
574621,8,1200.0
574622,1,1200.0
549614,1,1200.0
476399,2,1200.0
285631,11,6000.0
165055-587088,1,1200.0
150599-150601,3,3000.0
76477-76475,34,6000.0
271065,3,3000.0
549680,1,1200.0
549681,3,1200.0
549682,3,1200.0
535045,1,1200.0
549679,2,1200.0
74834-596508,3,4000.0
586704-50503,1,1200.0
549663,4,1200.0
22813-22985,3,600.0
246094,1,3000.0
199585-199586,32,4000.0
285668,1,2000.0
285669,3,2000.0
254881-571515,3,1200.0
15706-15708,2,6000.0
326637-326639,1,1200.0
549654,3,2000.0
110021-160440,4,2000.0
481216-467670-467681,10,1200.0
128613,3,1200.0
128614,1,3000.0
597655-608639,13,4000.0
608536,1,1200.0
152759-431303-431298-249745-249775-588808,59,8000.0
501637,2,1200.0
153615,4,9000.0
153616,23,9000.0
153617,1,9000.0
608522,33,4000.0
608525,43,6000.0
501626,14,2400.0
501627,10,2400.0
128670,13,6000.0
128671,13,9000.0
128672,9,1200.0
128673,7,1200.0
535296-519513,1,1200.0
501662,12,1200.0
501663,14,1200.0
114030,1,1200.0
501664,9,1200.0
501665,15,1200.0
114032,1,1200.0
549600,1,4000.0
549601,1,4000.0
501660,1,4000.0
442999,8,1200.0
501661,1,4000.0
128666,1,1200.0
114018,1,4000.0
114019,1,4000.0
442987,1,1200.0
128659,4,1200.0
128651,1,1200.0
128523-128525-128527,1,1200.0
114013,4,4000.0
115022-114388-56644-56656-56658-165381-165383-165385,1,2000.0
128640,1,1200.0
128641,1,1200.0
128642,1,1200.0
552625-304356,1,1200.0
501670,56,12000.0
381398-351867-625715-625714-4282,28,6000.0
247368-558740,1,2000.0
368656-425732,2,600.0
403351,58,6000.0
403352,32,6000.0
153550,1,1200.0
403353,32,6000.0
403355,1,1200.0
403357,1,1200.0
403358,11,1200.0
128590,1,2000.0
12334-12346,1,1200.0
128591,7,2000.0
384210-107686,3,6000.0
128592,9,2000.0
403350,57,6000.0
403348,57,6000.0
403349,63,6000.0
10,2,1200.0
403342,5,1200.0
153540,2,1200.0
403343,1,1200.0
16,1,1200.0
403347,62,6000.0
153545,10,1200.0
128589,7,2000.0
153546,8,1200.0
61455,36,6000.0
153547,6,1200.0
61456,36,6000.0
608492,1,1200.0
128580,1,1200.0
608493,1,1200.0
608494,1,1200.0
442944,2,4000.0
442945,2,4000.0
442947,3,3000.0
185052-224245-224192-185054,1,3000.0
128571,1,1200.0
403330,23,6000.0
153572,1,2400.0
153573,1,2400.0
128574,18,6000.0
153574,1,2400.0
61461,1,1200.0
153579,4,3000.0
61465,6,1200.0
61466,12,1200.0
608480,2,3000.0
61467,2,1200.0
61468,4,1200.0
608481,2,3000.0
61469,3,1200.0
608486,8,1200.0
608487,9,1200.0
608489,32,4000.0
